#x,y,z,f,dx,dy,dz,k,s,m
1.461652,0.003799,3.332769,1000.000000,-0.113440,-0.608944,-0.785060,1.000000,0.177963,0
0.633652,0.003799,1.586770,1000.000000,-0.870779,-0.153542,-0.467086,1.000000,0.154828,0
1.600652,0.003799,0.597770,1000.000000,0.028140,-0.032590,-0.999073,1.000000,0.141444,0
1.215652,0.003799,0.807770,1000.000000,-0.987657,0.000000,-0.156634,1.000000,0.150000,0
1.212652,0.003799,1.768770,1000.000000,-0.859119,-0.033960,-0.510647,1.000000,0.177963,0
0.941652,0.003799,2.725770,1000.000000,-0.267160,-0.047107,-0.962500,1.000000,0.177963,0
1.028652,0.003799,0.201770,1000.000000,-0.020792,0.066564,-0.997566,1.000000,0.141444,0
1.012652,0.003799,0.769770,1000.000000,-0.977721,-0.209702,0.009272,1.000000,0.150000,0
1.400652,0.003799,0.195770,1000.000000,-0.016319,0.081875,-0.996509,1.000000,0.153246,0
