#x,y,z,f,dx,dy,dz,k,s,m
1.597652,0.003799,1.383770,1000.000000,0.010858,-0.196626,-0.980419,1.000000,0.141444,0
0.808652,0.003799,0.579770,1000.000000,-0.033408,-0.017370,-0.999291,1.000000,0.141444,0
1.629652,0.003799,3.043770,1000.000000,-0.630106,-0.111105,-0.768520,1.000000,0.146075,0
1.014652,0.003799,1.984770,1000.000000,-0.825517,-0.145561,-0.545283,1.000000,0.154828,0
1.285652,0.003799,2.523770,1000.000000,-0.703275,-0.046671,-0.709384,1.000000,0.153246,0
0.631652,0.003799,1.377770,1000.000000,-0.783737,-0.277536,0.555634,1.000000,0.154828,0
1.780652,0.003799,3.352770,1000.000000,-0.430972,-0.164968,-0.887158,1.000000,0.177963,0
1.463652,0.003799,2.527770,1000.000000,0.639188,0.038606,-0.768081,1.000000,0.146075,0
1.006166,0.003488,1.009040,1000.000000,0.033516,-0.113025,-0.993027,1.000000,0.153246,0
0.247162,0.003489,1.033070,1000.000000,-0.450891,-0.108249,0.885991,1.000000,0.164768,0
0.235166,0.003488,0.202040,1000.000000,-0.059034,0.111453,-0.992015,1.000000,0.141444,0
