#x,y,z,f,dx,dy,dz,k,s,m
1.596652,0.040201,1.885770,1000.000000,-0.809885,-0.431906,-0.396919,1.000000,0.141444,0
1.781652,0.003799,2.867770,1000.000000,0.339674,-0.062720,-0.938450,1.000000,0.141444,0
1.625652,0.003799,2.527770,1000.000000,-0.484178,-0.089737,-0.870356,1.000000,0.141444,0
1.211652,0.003799,1.556770,1000.000000,-0.036148,-0.212724,-0.976443,1.000000,0.141444,0
1.211652,0.003799,0.597770,1000.000000,-0.002380,-0.049847,-0.998754,1.000000,0.141444,0
2.195652,0.003799,1.376770,1000.000000,0.417218,-0.350087,-0.838671,1.000000,0.177963,0
0.390652,0.003799,1.397770,1000.000000,0.751971,-0.013126,-0.659065,1.000000,0.134059,2
2.042652,0.003799,0.986770,1000.000000,0.705126,-0.000328,-0.709082,1.000000,0.200752,0
0.441652,0.003799,1.321770,1000.000000,-0.763350,-0.355956,0.539066,1.000000,0.134059,2
0.791652,0.003799,3.201770,1000.000000,0.398631,-0.153137,-0.904236,1.000000,0.146075,0
1.006166,0.003488,1.009040,1000.000000,0.033516,-0.113025,-0.993027,1.000000,0.153246,0
0.235166,0.003488,0.202040,1000.000000,-0.059034,0.111453,-0.992015,1.000000,0.141444,0
